上市公司简称,股票代码,年份,AI提及次数,AI战略态度,AI整体水平,AI岗位数,AI专利数,一致性判定
华闻传媒投资集团,000793,2024.0,0,,无,0,0,未涉及AI
南国置业,002305,2024.0,0,未提及,无,3,0,行动先行
财信地产发展集团,000838,2024.0,0,,无,0,0,未涉及AI
同辉佳视（北京）信息技术,920090,2024.0,8,重点方向,中,17,0,言行一致
启迪环境科技发展,000826,2024.0,0,,无,11,96,行动先行
深圳市和科达精密清洗设备,002816,2024.0,1,初步探索,低,2,0,言行一致
四通股份,603838,2024.0,1,初步探索,低,0,30,言行一致
国中水务,600187,2024.0,1,未提及,低,0,1,言行一致
深圳国华网安科技,000004,2024.0,36,核心战略,高,1,0,言行一致
大晟文化,600892,2024.0,1,未提及,低,0,0,表态超前
浙江大立科技,002214,2024.0,5,重点方向,中,22,134,言行一致
武汉天喻信息产业,300205,2024.0,3,初步探索,低,68,402,言行一致
天宜上佳,688033,2024.0,4,初步探索,低,0,77,言行一致
新疆天山畜牧生物工程,300313,2024.0,0,,无,0,4,行动先行
成都天箭科技,002977,2024.0,0,,无,1,10,行动先行
威领新能源,002667,2024.0,0,未提及,无,2,35,行动先行
宁波GQY视讯,300076,2024.0,14,重点方向,中,0,62,言行一致
深圳市宇顺电子,002289,2024.0,3,初步探索,低,0,101,言行一致
宝塔实业,000595,2024.0,0,,无,0,13,行动先行
江苏宝馨科技,002514,2024.0,1,初步探索,低,1,19,言行一致
实达集团,600734,2024.0,28,核心战略,高,13,18,言行一致
美尔雅,600107,2024.0,0,,无,0,4,行动先行
中信尼雅,600084,2024.0,1,未提及,低,0,5,言行一致
岭南生态文旅,002717,2024.0,1,初步探索,低,8,71,言行一致
帅丰电器,605336,2024.0,3,初步探索,低,1,72,言行一致
广西农投糖业集团,000911,2024.0,0,未提及,无,0,28,行动先行
北京康乐卫士生物技术,920575,2024.0,0,,无,0,60,行动先行
康佳集团,000016,2024.0,6,核心战略,高,0,0,表态超前
深圳市建艺装饰集团,002789,2024.0,0,,无,0,78,行动先行
开元教育科技集团,300338,2024.0,7,重点方向,中,4,415,言行一致
苏州恒久光电科技,002808,2024.0,1,初步探索,低,3,30,言行一致
摩登大道时尚集团,002656,2024.0,0,,无,0,15,行动先行
数源科技,000909,2024.0,3,未提及,低,5,138,言行一致
万向新元科技,300472,2024.0,5,重点方向,中,0,35,言行一致
ST,600777,2024.0,0,,无,0,0,未涉及AI
新疆机械研究院,300159,2024.0,2,重点方向,中,0,3,言行一致
武汉明德生物科技,002932,2024.0,1,初步探索,低,3,119,言行一致
北京易华录信息技术,300212,2024.0,18,重点方向,中,605,357,言行一致
广东星光发展,002076,2024.0,5,重点方向,中,1,65,言行一致
苏州春兴精工,002547,2024.0,0,,无,2,85,行动先行
ST,600381,2024.0,0,,无,2,24,行动先行
景谷林业,600265,2024.0,0,,无,0,2,行动先行
四川川大智胜软件,002253,2024.0,20,核心战略,高,41,160,言行一致
山东未名生物医药,002581,2024.0,1,重点方向,低,0,0,表态超前
柳化股份,600423,2024.0,0,,无,0,21,行动先行
浙江棒杰控股集团,002634,2024.0,0,未提及,无,0,1,行动先行
海南椰岛,600238,2024.0,0,,无,4,0,行动先行
正平股份,603843,2024.0,7,重点方向,中,0,17,言行一致
浙江步森服饰,002569,2024.0,2,初步探索,低,0,0,表态超前
沐邦高科,603398,2024.0,0,未提及,无,2,36,行动先行
广东泉为科技,300716,2024.0,0,未提及,无,7,66,行动先行
海利生物,603718,2024.0,0,,无,0,3,行动先行
青海华鼎,600243,2024.0,0,,无,0,0,未涉及AI
清越科技,688496,2024.0,3,初步探索,低,1,0,言行一致
湘邮科技,600476,2024.0,12,重点方向,中,9,11,言行一致
深圳奥特迅电力设备,002227,2024.0,1,未提及,无,0,69,言行一致
深圳瑞和建筑装饰,002620,2024.0,0,,无,5,92,行动先行
瑞茂通,600180,2024.0,3,重点方向,中,5,0,言行一致
田野创新,920023,2024.0,0,未提及,无,0,8,行动先行
深圳市皇庭国际企业,000056,2024.0,1,未提及,无,0,0,表态超前
北京诚益通控制技术集团,300430,2024.0,12,重点方向,中,6,11,言行一致
福成股份,600965,2024.0,1,重点方向,低,0,2,言行一致
禾信仪器,688622,2024.0,3,重点方向,中,3,209,言行一致
网达软件,603189,2024.0,35,核心战略,高,87,158,言行一致
深圳美丽生态,000010,2024.0,0,,无,0,0,未涉及AI
深圳市美芝装饰设计工程,002856,2024.0,0,,无,0,1,行动先行
奥园美谷科技,000615,2024.0,2,初步探索,低,0,0,表态超前
聆达集团,300125,2024.0,0,未提及,无,0,16,行动先行
联翔股份,603272,2024.0,1,初步探索,低,4,26,言行一致
航天宏图,688066,2024.0,16,核心战略,高,82,516,言行一致
艾艾精工,603580,2024.0,0,,无,0,0,未涉及AI
神雾节能,000820,2024.0,0,未提及,无,0,0,未涉及AI
深圳英飞拓科技,002528,2024.0,28,核心战略,高,49,188,言行一致
莫高股份,600543,2024.0,0,,无,0,6,行动先行
西藏发展,000752,2024.0,1,初步探索,低,0,1,言行一致
西安旅游,000610,2024.0,1,初步探索,低,0,0,表态超前
深圳市赛为智能,300044,2024.0,48,核心战略,高,94,148,言行一致
赛隆药业集团,002898,2024.0,0,,无,1,26,行动先行
ST,603557,2024.0,0,,无,0,19,行动先行
金发拉比妇婴童用品,002762,2024.0,9,核心战略,中,0,19,言行一致
金通灵科技集团,300091,2024.0,0,未提及,无,0,70,行动先行
金科地产集团,000656,2024.0,0,,无,5,4,行动先行
长江投资,600119,2024.0,1,未提及,低,0,0,表态超前
闻泰科技,600745,2024.0,18,重点方向,中,0,0,表态超前
山东雅博科技,002323,2024.0,0,未提及,无,1,0,行动先行
集友股份,603429,2024.0,0,,无,0,17,行动先行
顾地科技,002694,2024.0,0,未提及,无,0,47,行动先行
广州市香雪制药,300147,2024.0,1,初步探索,低,1,76,言行一致
中国高科,600730,2024.0,25,核心战略,高,23,1,言行一致
一博科技,301366,2024.0,12,未提及,低,1,103,言行一致
一品红,300723,2024.0,5,重点方向,中,13,8,言行一致
一彬科技,001278,2024.0,0,初步探索,低,0,34,行动先行
一心堂,002727,2024.0,8,重点方向,中,12,0,言行一致
一拖股份,601038,2024.0,5,重点方向,中,0,307,言行一致
一汽解放,000800,2024.0,2,初步探索,低,2,4129,言行一致
一致魔芋,920273,2024.0,0,,无,0,63,行动先行
一诺威,920261,2024.0,1,重点方向,低,0,408,言行一致
一鸣食品,605179,2024.0,0,未提及,无,52,106,行动先行
七一二,603712,2024.0,2,初步探索,低,11,275,言行一致
七丰精工,920169,2024.0,0,未提及,无,0,10,行动先行
七匹狼,002029,2024.0,1,核心战略,高,11,93,言行一致
七彩化学,300758,2024.0,2,重点方向,低,0,64,言行一致
万东医疗,600055,2024.0,24,核心战略,高,1,0,言行一致
万丰奥威,002085,2024.0,0,未提及,无,0,53,行动先行
万丰股份,603172,2024.0,0,,无,0,33,行动先行
万事利,301066,2024.0,12,核心战略,高,11,28,言行一致
万兴科技,300624,2024.0,35,核心战略,高,258,145,言行一致
万凯新材,301216,2024.0,5,重点方向,中,0,52,言行一致
万华化学,600309,2024.0,6,核心战略,高,1,4327,言行一致
万向德农,600371,2024.0,0,,无,0,0,未涉及AI
万向钱潮,000559,2024.0,5,重点方向,中,8,667,言行一致
万和电气,002543,2024.0,8,重点方向,中,58,545,言行一致
万孚生物,300482,2024.0,6,重点方向,中,11,279,言行一致
万安科技,002590,2024.0,0,未提及,低,8,256,行动先行
万年青,000789,2024.0,0,,无,0,1,行动先行
万得凯,301309,2024.0,1,初步探索,低,0,26,言行一致
万德斯,688178,2024.0,0,,无,0,93,行动先行
万德股份,920519,2024.0,3,重点方向,中,0,32,言行一致
万憬能源,002700,2024.0,1,初步探索,低,0,0,表态超前
万控智造,603070,2024.0,1,未提及,低,0,20,言行一致
万朗磁塑,603150,2024.0,1,初步探索,低,1,173,言行一致
万林物流,603117,2024.0,0,,无,0,0,未涉及AI
万泰生物,603392,2024.0,4,重点方向,中,1,112,言行一致
万泽股份,000534,2024.0,0,,无,0,0,未涉及AI
万润新能,688275,2024.0,2,初步探索,低,2,248,言行一致
万润科技,002654,2024.0,0,未提及,无,3,11,行动先行
万润股份,002643,2024.0,0,,无,0,563,行动先行
万源通,920060,2024.0,14,重点方向,中,0,0,表态超前
万祥科技,301180,2024.0,4,初步探索,低,2,30,言行一致
万科,000002,2024.0,11,重点方向,中,33,24,言行一致
万胜智能,300882,2024.0,3,重点方向,中,1,254,言行一致
万讯自控,300112,2024.0,0,未提及,无,17,44,行动先行
万辰集团,300972,2024.0,0,,无,0,25,行动先行
万达信息,300168,2024.0,30,核心战略,高,104,231,言行一致
万达轴承,920002,2024.0,2,重点方向,中,0,0,表态超前
万通发展,600246,2024.0,4,未提及,无,0,0,表态超前
万通智控,300643,2024.0,4,重点方向,中,0,42,言行一致
万通液压,920839,2024.0,0,初步探索,低,0,44,行动先行
万邦医药,301520,2024.0,0,,无,1,17,行动先行
万邦达,300055,2024.0,2,初步探索,低,0,45,言行一致
万里扬,002434,2024.0,3,重点方向,中,4,186,言行一致
万里石,002785,2024.0,1,初步探索,低,0,7,言行一致
万里股份,600847,2024.0,0,未提及,无,0,2,行动先行
万里马,300591,2024.0,9,重点方向,中,0,27,言行一致
万隆光电,300710,2024.0,4,初步探索,低,0,19,言行一致
万集科技,300552,2024.0,5,核心战略,高,120,783,言行一致
万顺新材,300057,2024.0,0,,无,0,15,行动先行
万马科技,300698,2024.0,35,核心战略,高,0,35,言行一致
万马股份,002276,2024.0,1,重点方向,中,1,0,言行一致
三一重工,600031,2024.0,4,核心战略,高,143,374,言行一致
三一重能,688349,2024.0,8,重点方向,中,0,0,表态超前
三七互娱,002555,2024.0,28,核心战略,高,0,0,表态超前
三丰智能,300276,2024.0,5,重点方向,中,12,30,言行一致
三人行,605168,2024.0,20,重点方向,高,0,1,言行一致
三佳科技,600520,2024.0,4,重点方向,中,0,8,言行一致
三元基因,920344,2024.0,4,重点方向,中,2,60,言行一致
三元股份,600429,2024.0,1,初步探索,低,0,152,言行一致
三全食品,002216,2024.0,0,未提及,无,0,77,行动先行
三利谱,002876,2024.0,0,未提及,无,1,67,行动先行
贵州三力,60343,2024.0,0,,,0,0,未涉及AI
三力士,002224,2024.0,0,未提及,无,0,56,行动先行
三博脑科,301293,2024.0,1,重点方向,低,0,0,表态超前
三友化工,600409,2024.0,0,未提及,无,0,96,行动先行
三友医,688085,2024.0,4,重点方向,中,1,149,言行一致
三友联众,300932,2024.0,2,初步探索,低,0,170,言行一致
三变科技,002112,2024.0,0,,无,0,29,行动先行
三只松鼠,300783,2024.0,0,,无,123,210,行动先行
三和管桩,003037,2024.0,1,未提及,低,1,78,言行一致
三夫户外,002780,2024.0,0,,无,10,21,行动先行
三孚新科,688359,2024.0,2,未提及,低,0,100,言行一致
三孚股份,603938,2024.0,0,未提及,无,0,15,行动先行
三安光电,600703,2024.0,6,重点方向,中,13,2,言行一致
三峡新材,600293,2024.0,1,初步探索,低,0,28,言行一致
三峡旅游,002627,2024.0,0,,无,0,0,未涉及AI
三峡水利,600116,2024.0,0,未提及,无,0,0,未涉及AI
三峡能源,600905,2024.0,2,重点方向,中,3,0,言行一致
三川智慧,300066,2024.0,5,核心战略,中,12,94,言行一致
三德科技,300515,2024.0,1,初步探索,低,0,332,言行一致
三态股份,301558,2024.0,16,核心战略,高,3,0,言行一致
三旺通信,688618,2024.0,30,重点方向,中,24,206,言行一致
三星新材,603578,2024.0,3,初步探索,低,0,38,言行一致
三晖电气,002857,2024.0,0,未提及,无,4,54,行动先行
三未信安,688489,2024.0,12,重点方向,中,2,146,言行一致
三柏硕,001300,2024.0,1,重点方向,中,1,41,言行一致
三江购物,601116,2024.0,0,,无,16,0,行动先行
三湘印象,000863,2024.0,1,初步探索,低,0,4,言行一致
三特索道,002159,2024.0,0,,无,3,0,行动先行
三环集团,300408,2024.0,3,重点方向,低,6,0,言行一致
三生国健,688336,2024.0,1,初步探索,低,0,0,表态超前
三祥新材,603663,2024.0,0,未提及,无,0,111,行动先行
三祥科技,920195,2024.0,0,,无,4,53,行动先行
三维化学,002469,2024.0,1,重点方向,低,0,73,言行一致
三维天地,301159,2024.0,59,核心战略,高,96,2033,言行一致
三维装备,920834,2024.0,0,未提及,无,0,36,行动先行
三维通信,002115,2024.0,3,重点方向,中,8,442,言行一致
三羊马,001317,2024.0,0,,无,0,0,未涉及AI
三美股份,603379,2024.0,0,,无,0,70,行动先行
三联虹普,300384,2024.0,50,核心战略,高,0,57,言行一致
三联锻造,001282,2024.0,0,未提及,无,1,50,行动先行
三角防务,300775,2024.0,0,,无,1,34,行动先行
三诺生物,300298,2024.0,12,重点方向,高,48,235,言行一致
三超新材,300554,2024.0,0,未提及,无,0,31,行动先行
三达膜,688101,2024.0,0,,无,0,0,未涉及AI
三鑫医疗,300453,2024.0,2,重点方向,中,0,52,言行一致
三钢闽光,002110,2024.0,0,重点方向,中,0,234,行动先行
三雄极光,300625,2024.0,1,初步探索,低,30,45,言行一致
上声电子,688533,2024.0,2,初步探索,低,0,92,言行一致
上大股份,301522,2024.0,0,,无,0,0,未涉及AI
上实发展,600748,2024.0,0,,无,3,0,行动先行
上峰材料,000672,2024.0,0,,无,0,0,未涉及AI
上工申贝,600843,2024.0,0,未提及,无,2,0,行动先行
上汽集团,600104,2024.0,10,核心战略,高,61,2337,言行一致
上海三毛,600689,2024.0,0,未提及,无,0,0,未涉及AI
上海临港,600848,2024.0,7,重点方向,中,0,0,表态超前
上海九百,600838,2024.0,0,未提及,无,0,0,未涉及AI
上海亚虹,603159,2024.0,0,,无,0,25,行动先行
上海凤凰,600679,2024.0,0,未提及,无,0,0,未涉及AI
上海凯宝,300039,2024.0,0,未提及,无,0,122,行动先行
上海凯鑫,300899,2024.0,0,,无,0,52,行动先行
上海合晶,688584,2024.0,0,未提及,无,0,34,行动先行
上海家化,600315,2024.0,0,,无,17,441,行动先行
上海建工,600170,2024.0,3,重点方向,中,0,1767,言行一致
上海建科,603153,2024.0,5,初步探索,中,0,8,言行一致
上海新阳,300236,2024.0,5,未提及,低,4,250,言行一致
上海机场,600009,2024.0,1,初步探索,低,0,18,言行一致
上海机电、机电B,600835,2024.0,0,初步探索,低,0,0,未涉及AI
上海汽配,603107,2024.0,0,,无,1,8,行动先行
上海沪工,603131,2024.0,0,初步探索,低,5,233,行动先行
上海沿浦,605128,2024.0,0,未提及,无,0,5,行动先行
上海洗霸,603200,2024.0,6,未提及,低,0,104,言行一致
上海港湾,605598,2024.0,3,重点方向,中,0,0,表态超前
上海瀚讯,300762,2024.0,2,核心战略,中,11,79,言行一致
上海物贸,600822,2024.0,0,,,0,2,行动先行
上海电力,600021,2024.0,0,未提及,无,0,68,行动先行
上海石化,600688,2024.0,0,未提及,无,0,1106,行动先行
上海能源,600508,2024.0,0,,无,0,176,行动先行
上海艾录,301062,2024.0,0,未提及,无,1,70,行动先行
上海莱士,002252,2024.0,1,初步探索,低,1,27,言行一致
上海谊众,688091,2024.0,1,初步探索,低,0,5,言行一致
上海贝岭,600171,2024.0,3,未提及,无,0,510,言行一致
上海钢联,300226,2024.0,46,核心战略,高,0,0,表态超前
上海雅仕,603329,2024.0,1,初步探索,低,0,0,表态超前
上港集团,600018,2024.0,3,重点方向,中,0,0,表态超前
上纬新材,688585,2024.0,0,,无,0,63,行动先行
上能电气,300827,2024.0,1,初步探索,低,6,178,言行一致
世华科技,688093,2024.0,0,未提及,无,0,171,行动先行
世名科技,300522,2024.0,0,未提及,无,3,62,行动先行
世嘉科技,002796,2024.0,0,未提及,无,1,28,行动先行
世纪华通,002602,2024.0,35,核心战略,高,0,1,言行一致
世纪天鸿,300654,2024.0,42,核心战略,高,6,0,言行一致
世纪恒通,301428,2024.0,14,重点方向,中,146,115,言行一致
世纪瑞尔,300150,2024.0,0,未提及,无,9,19,行动先行
世纪鼎利,300050,2024.0,5,重点方向,中,56,73,言行一致
世联行,002285,2024.0,0,,无,109,0,行动先行
世茂能源,605028,2024.0,0,,无,0,15,行动先行
世荣兆业,002016,2024.0,0,,无,0,0,未涉及AI
世运电路,603920,2024.0,50,核心战略,高,3,51,言行一致
世龙实业,002748,2024.0,1,初步探索,低,0,45,言行一致
丛麟科技,688370,2024.0,5,重点方向,中,0,32,言行一致
东亚药业,605177,2024.0,1,初步探索,低,0,36,言行一致
东信和平,002017,2024.0,4,重点方向,中,18,467,言行一致
东利机械,301298,2024.0,0,重点方向,低,0,23,行动先行
东北制药,000597,2024.0,3,初步探索,低,4,147,言行一致
东北证券,000686,2024.0,1,初步探索,低,8,0,言行一致
东华测试,300354,2024.0,6,核心战略,中,7,33,言行一致
东华科技,002140,2024.0,0,未提及,无,0,617,行动先行
东华能源,002221,2024.0,0,未提及,无,5,17,行动先行
东华软件,002065,2024.0,26,核心战略,高,380,32,言行一致
东南电子,301359,2024.0,0,未提及,无,0,32,行动先行
东南网架,002135,2024.0,6,核心战略,中,0,323,言行一致
东和新材,920792,2024.0,0,未提及,无,0,31,行动先行
东土科技,300353,2024.0,35,核心战略,高,19,697,言行一致
东威科技,688700,2024.0,4,未提及,低,0,131,言行一致
东安动力,600178,2024.0,1,初步探索,低,0,387,言行一致
东宏股份,603856,2024.0,2,重点方向,低,4,190,言行一致
东宝生物,300239,2024.0,0,,无,0,34,行动先行
东富龙,300171,2024.0,0,未提及,无,19,401,行动先行
东山精密,002384,2024.0,0,,无,12,80,行动先行
东岳硅材,300821,2024.0,0,,无,0,100,行动先行
东微半导,688261,2024.0,11,重点方向,中,0,72,言行一致
东方中科,002819,2024.0,40,核心战略,高,4,18,言行一致
东方创业,600278,2024.0,0,未提及,无,0,7,行动先行
东方嘉盛,002889,2024.0,20,核心战略,高,0,0,表态超前
东方国信,300166,2024.0,35,核心战略,高,1225,106,言行一致
东方新能,002310,2024.0,0,,无,9,74,行动先行
东方日升,300118,2024.0,2,重点方向,中,9,144,言行一致
东方明珠,600637,2024.0,30,核心战略,高,58,33,言行一致
东方材料,603110,2024.0,18,核心战略,中,0,0,表态超前
东方海洋,002086,2024.0,3,初步探索,低,0,95,言行一致
东方环宇,603706,2024.0,1,重点方向,中,0,0,表态超前
东方生物,688298,2024.0,5,重点方向,中,3,69,言行一致
东方电子,000682,2024.0,18,核心战略,高,51,364,言行一致
东方电气,600875,2024.0,4,重点方向,高,0,294,言行一致
东方电热,300217,2024.0,1,初步探索,低,1,74,言行一致
东方电缆,603606,2024.0,1,重点方向,低,0,179,言行一致
东方盛虹,000301,2024.0,10,核心战略,高,1,1,言行一致
东方碳素,920175,2024.0,0,,无,0,33,行动先行
东方精工,002611,2024.0,13,重点方向,高,2,115,言行一致
东方证券,600958,2024.0,3,重点方向,中,26,25,言行一致
东方财富,300059,2024.0,11,核心战略,高,141,44,言行一致
东方通信东信B,600776,2024.0,12,重点方向,中,140,316,言行一致
东方钽业,000962,2024.0,0,,无,0,273,行动先行
东方铁塔,002545,2024.0,2,初步探索,低,0,27,言行一致
东方锆业,002167,2024.0,0,未提及,无,0,40,行动先行
东方雨虹,002271,2024.0,0,未提及,无,12,575,行动先行
东星医疗,301290,2024.0,0,未提及,无,0,0,未涉及AI
东望时代,600052,2024.0,2,初步探索,低,0,0,表态超前
